,word,count
49564,moverán,2
88282,recopilado,2
76300,dull,2
75907,velhos,2
47594,pitié,2
13976,vechernyaya,2
13094,cicero,2
51457,clarinete,2
47620,duse,2
48683,amenazarlo,2
50883,gánele,2
51317,matáramos,2
47622,acuérdense,2
51702,instalen,2
48684,enderezarlos,2
12705,goodnight,2
48681,curtains,2
88647,amigotes,2
47918,flag,2
50875,aleutiana,2
2694,tendria,2
76155,teve,2
13703,improvisaba,2
49566,luciría,2
13581,delatan,2
12987,jadeante,2
49785,malva,2
76331,chupacabra,2
51699,identificara,2
49807,frecuentar,2
52170,mearme,2
48189,doblete,2
48542,desenfrenada,2
48678,lewisburg,2
75910,valeu,2
52167,pásenlo,2
48289,respalde,2
13418,dibujé,2
52206,congelante,2
75908,tempos,2
49223,cumplirse,2
50221,ayudándose,2
50398,amenazantes,2
88418,gems,2
88649,etiquetarme,2
50214,inglewood,2
49589,sherpa,2
88315,designar,2
49558,ibm,2
50213,pajilla,2
14145,ahogarlos,2
49023,helms,2
13100,actualicen,2
51698,avísale,2
47635,fabricarán,2
52156,candi,2
48072,destroying,2
49111,botswana,2
47638,llíada,2
50641,canarias,2
51706,exhibido,2
48177,pujen,2
88416,kincade,2
88177,transferirán,2
50326,arrastrarás,2
50888,ajustaste,2
49110,deshechos,2
48518,enagua,2
52205,rociador,2
88278,pendenciero,2
76333,agent,2
48691,empujaste,2
70275,corderito,2
12860,yelling,2
47629,weber,2
49108,detonadora,2
70209,conciernen,2
88810,neutra,2
76092,barulhos,2
51127,losheim,2
50891,nickolas,2
76211,reject,2
13269,escogiera,2
88417,screen,2
52159,cogerías,2
13940,palpable,2
50647,barbary,2
51704,falus,2
47632,exime,2
50653,castigarle,2
50222,obtengan,2
75911,venho,2
52195,mastiques,2
69673,desafíe,2
51132,spitzbergen,2
48541,gruta,2
70007,acusaré,2
52190,invalidez,2
52188,raul,2
88378,gobiernen,2
14295,transmitido,2
70180,evren,2
13271,vasta,2
76434,rook,2
52187,sequen,2
96535,policía,2
49580,demándame,2
89493,freight,2
76090,fale,2
48662,ausentado,2
88031,zubair,2
51133,septentrional,2
76018,namorado,2
88761,ribete,2
50401,bale,2
76429,expand,2
48885,impetuoso,2
88978,fugar,2
2677,demande,2
70008,pantimedias,2
13085,nucky,2
76248,paranoid,2
50072,encerrarse,2
50862,shushaldin,2
51657,kryptonianos,2
13592,desabrocha,2
47916,blend,2
50863,preobrajenski,2
52199,erbio,2
89497,comma,2
48188,aspiramos,2
52198,cerio,2
69855,exprés,2
52197,óseo,2
76015,beijar,2
13699,discútelo,2
51655,incoherentemente,2
13700,observes,2
2593,tendran,2
47917,danish,2
13978,buscame,2
70246,lobatos,2
69952,preguntéis,2
51653,bengalas,2
69790,cuartito,2
47615,aurícula,2
52177,clifton,2
88317,clearview,2
69677,pactos,2
88280,quintaesencia,2
50677,albergarse,2
49570,viagra,2
76330,strain,2
51442,apresurar,2
70101,acortamos,2
70177,taksim,2
49100,rítmico,2
47611,camplaje,2
48667,canada,2
48658,demostrable,2
76020,rh,2
49576,colocarte,2
96609,durst,2
88437,cipol,2
48537,alimentadas,2
12712,pays,2
96536,whitemore,2
14159,subestimarme,2
51328,orquestado,2
2714,recogeme,2
88438,italoamericanas,2
49573,nimiedad,2
48081,setting,2
49572,disecado,2
51438,identikit,2
49099,recesión,2
88980,nerviosilla,2
51659,elocuencia,2
75975,aqueles,2
49112,tráteme,2
50852,negoció,2
49787,sutilezas,2
48080,courteous,2
51707,estoyestoy,2
69850,pregúnteme,2
48719,divorcian,2
88331,froten,2
89459,yelping,2
51721,menstruara,2
48204,extremismo,2
49847,embarazosas,2
49000,lgualmente,2
89060,estrangularla,2
76096,acontecendo,2
89142,perdíamos,2
49123,ambientalista,2
70342,olvidadas,2
51304,asciendan,2
76097,vire,2
88332,valerio,2
50927,complazca,2
47906,employing,2
14335,payasada,2
50930,bochornoso,2
48206,postularse,2
69957,quedármelos,2
96665,lesionar,2
48052,association,2
12966,bong,2
47671,duraron,2
48711,recompensaban,2
47662,cuidaran,2
51719,cortarías,2
50922,cantaremos,2
13556,negarnos,2
50923,hallarte,2
69955,enloquezcan,2
13113,tocaré,2
49844,discuta,2
48716,espabilar,2
50931,pudriéndose,2
50619,alquile,2
2452,culpaste,2
49276,supieses,2
69685,isleños,2
14227,indigna,2
13115,posponerla,2
48054,instinct,2
52109,lalo,2
70344,tiesos,2
50206,escamosas,2
69956,vigilarán,2
47663,sucesivo,2
50614,sacrificará,2
51484,nairobi,2
48208,neville,2
88269,balanceaba,2
70052,agrupan,2
88960,ampliaciones,2
12429,defecadas,2
89061,botamanga,2
50337,manejables,2
12688,amortigua,2
76476,devastating,2
51297,insurrección,2
88268,introducirme,2
96578,fpd,2
88335,reaccionas,2
47688,parienta,2
2744,dejare,2
69687,littledove,2
76385,straws,2
88336,ibarra,2
52079,sotanas,2
96541,prt,2
49856,despídame,2
13121,dermott,2
49515,brie,2
47687,recompensarte,2
13722,malentendió,2
49523,desististe,2
13727,rebanar,2
69958,olfatea,2
51303,heika,2
48318,atarme,2
12424,demoniaca,2
52091,ajustarnos,2
70049,presentarla,2
48320,enséñamela,2
49527,apelando,2
49526,justificarlo,2
52088,apoyándote,2
51120,schumacher,2
76259,plugins,2
51725,humillantes,2
76124,amam,2
47678,recetó,2
51485,trucada,2
47680,entusiasmes,2
50612,enredarse,2
52085,gumbo,2
50193,riais,2
76477,controls,2
88054,recelo,2
48724,daley,2
88173,faltaste,2
51306,invalidada,2
50434,relés,2
48698,planchan,2
48699,recortan,2
48510,retroceso,2
70173,guardadas,2
47941,provoked,2
49018,aíslan,2
51711,arpillera,2
49820,vlll,2
13983,s02e02,2
13105,abarrotes,2
47648,estrenaron,2
50902,yung,2
50636,bocados,2
51163,eisen,2
47650,comprenderla,2
76202,contente,2
49016,bombillo,2
89053,preguntármelo,2
50067,quedáis,2
51164,obay,2
48200,desmoronar,2
49115,b1,2
50396,alquilaba,2
76023,ficava,2
51124,austriaco,2
48064,casserole,2
47641,chismosos,2
14341,sumisa,2
52155,sustituyo,2
88574,valiera,2
2794,sali,2
48697,manteles,2
49221,incorporó,2
88898,yupa,2
52151,concienzudo,2
12392,url,2
88042,concientizar,2
52149,sobresalientes,2
51311,niégalo,2
49553,nombrarme,2
